i,subset,qa,qs,qn,x,n,n.obs,prior.mean,obs.min,obs.max,posterior.mean,posterior.hdi.low,posterior.hdi.high,obs.range,hdi.range
849,S862,0.3614,0.2731,0.3655,0.9054,7742,5,0.6033066391113407,0.6021699819168174,0.6037199690002584,0.6033288391016229,0.595530823021967,0.6115324497151413,0.0015499870834410068,0.016001626693174287
850,S863,0.3164,0.4521,0.2315,0.1713,6566,5,0.39853792263173926,0.39247639354249164,0.4069448674992385,0.39860946527633484,0.3916855677778689,0.4054849835185542,0.014468473956746886,0.013799415740685328
851,S864,0.3769,0.3088,0.3142,0.6294,4582,5,0.5756438236577913,0.5709297250109122,0.5783500654735924,0.5757838231222523,0.5653145388635302,0.5854623294174218,0.007420340462680142,0.020147790553891598
852,S865,0.32,0.0258,0.6542,0.4585,4478,5,0.3288521661456007,0.32715497990174186,0.3298347476552032,0.3289414298778813,0.3214120771987874,0.3367605722075574,0.0026797677534613484,0.015348495008770002
853,S866,0.3595,0.6007,0.0398,0.3306,8961,5,0.5578841647137597,0.5527284901238702,0.5645575270617119,0.5579145498189337,0.5503889237988894,0.5651710116219264,0.011829036937841764,0.014782087823037027
854,S867,0.4324,0.5002,0.0675,0.4173,1654,5,0.6400241837968561,0.6293833131801693,0.6505441354292624,0.6399979343430041,0.6231834367246987,0.6571773117446287,0.021160822249093103,0.03399387501993001
855,S868,0.4835,0.5003,0.0161,0.6694,6817,5,0.8142584714683878,0.810767199647939,0.8200088015255977,0.8142502121828352,0.8042375910972335,0.8240905097937613,0.009241601877658767,0.019852918696527833
856,S869,0.4381,0.2089,0.353,0.0368,1397,5,0.4448103078024338,0.4423765211166786,0.44810307802433785,0.4450506285275731,0.4292726365533239,0.46084787216533674,0.005726556907659275,0.03157523561201281
857,S87,0.2999,0.3249,0.3752,0.162,3933,5,0.3561657767607424,0.349860157640478,0.36079328756674295,0.35635983105445257,0.34852143913510025,0.36511431132549654,0.01093312992626494,0.01659287219039629
858,S870,0.2029,0.2836,0.5135,0.3339,3397,5,0.29414188990285545,0.2896673535472476,0.2973211657344716,0.29429696629057256,0.2867938992415163,0.30255974397844265,0.007653812187223996,0.015765844736926327
859,S871,0.2908,0.2159,0.4933,0.7044,9801,5,0.4412610958065504,0.4380165289256198,0.444954596469748,0.44123872301606837,0.43544632053801335,0.44734130393331806,0.006938067544128179,0.011894983395304703
860,S872,0.4727,0.1993,0.328,0.3951,5540,5,0.5517689530685921,0.5496389891696751,0.5546931407942238,0.5518277881915258,0.5426107176586655,0.5607723689738895,0.005054151624548697,0.01816165131522396
861,S873,0.7481,0.1815,0.0704,0.0256,5514,5,0.7517228871962278,0.750816104461371,0.7524483133841132,0.7517674925209381,0.7419171186017802,0.762315157339166,0.0016322089227421843,0.02039803873738577
862,S874,0.0276,0.7146,0.2578,0.9673,5432,5,0.7257731958762886,0.7227540500736377,0.7286450662739322,0.7257327212366003,0.715773322621512,0.7359533741614785,0.00589101620029453,0.020180051539966493
863,S875,0.433,0.1233,0.4437,0.339,7405,5,0.47427413909520594,0.47184334908845377,0.4788656313301823,0.47433551081648884,0.4671386109613864,0.48098778938300946,0.007022282241728517,0.013849178421623032
864,S876,0.3435,0.0277,0.6288,0.8769,1400,5,0.3712857142857143,0.37,0.37214285714285716,0.37143868647130485,0.3571012521126613,0.3849513091071639,0.0021428571428571686,0.027850056994502603
865,S877,0.4474,0.2421,0.3105,0.522,7807,5,0.5683873446906622,0.5659023952862815,0.5729473549378763,0.5683980681513193,0.5609362066460517,0.5757356541265766,0.007044959651594795,0.014799447480524863
866,S878,0.0626,0.0766,0.8608,0.5779,5366,5,0.1050316809541558,0.10119269474468878,0.10846067834513604,0.1050963236889184,0.10119899753859685,0.10902436184092479,0.007267983600447253,0.007825364302327942
867,S879,0.2929,0.3664,0.3406,0.2413,9334,5,0.3758517248767945,0.37218770087850866,0.3771159202914078,0.37583098764780404,0.3703228338313669,0.38137809320673677,0.004928219412899115,0.011055259375369886
868,S88,0.0893,0.2254,0.6853,0.0683,3592,5,0.10027839643652561,0.09771714922048998,0.10217149220489978,0.1003205418577764,0.09545325634921631,0.10472060479023182,0.004454342984409804,0.00926734844101551
869,S880,0.4806,0.1405,0.3789,0.0919,5268,5,0.48333333333333334,0.48177676537585423,0.4857630979498861,0.4833556904171765,0.47540203235536105,0.49181321526120847,0.003986332574031859,0.01641118290584742
870,S881,0.2349,0.2162,0.5489,0.0801,7631,5,0.2490892412527847,0.24780500589699908,0.2509500720744332,0.24910148498634224,0.24402385015170835,0.2539920857227601,0.003145066177434125,0.009968235571051753
871,S882,0.7353,0.072,0.1928,0.96,7501,5,0.8016797760298626,0.80109318757499,0.8022930275963205,0.8017255638337434,0.7927870936358044,0.8110339608068953,0.001199840021330445,0.01824686717109092
872,S883,0.3923,0.4162,0.1915,0.345,5595,5,0.5436639857015192,0.5397676496872207,0.546916890080429,0.5436719553897081,0.5346617747480834,0.5519656453123795,0.0071492403932083,0.017303870564296053
873,S884,0.073,0.7654,0.1616,0.8138,4555,5,0.682019758507135,0.6742041712403952,0.6961580680570801,0.6820256368031599,0.6711056007054909,0.6927452351265971,0.021953896816684915,0.02163963442110628
874,S885,0.1308,0.4516,0.4175,0.456,7941,5,0.33353481929228057,0.3298073290517567,0.3363556227175419,0.3335260499036162,0.32787226997584595,0.33907023640610257,0.006548293665785188,0.011197966430256612
875,S886,0.5968,0.0775,0.3257,0.0925,2308,5,0.6093587521663778,0.6078856152512998,0.6109185441941074,0.6094685831777286,0.5965234195257957,0.624248035741132,0.0030329289428076,0.027724616215336284
876,S887,0.3058,0.3559,0.3382,0.1777,6723,5,0.3801576677078685,0.37706381079875056,0.38316227874460806,0.38017198059228474,0.37378679619457034,0.38736452801598165,0.0060984679458575,0.01357773182141131
877,S888,0.151,0.0484,0.8006,0.8204,5213,5,0.18952618453865336,0.1877997314406292,0.1914444657586802,0.18956603824654822,0.1842574289872978,0.1947530942163539,0.0036447343180510128,0.010495665229056095
878,S889,0.1051,0.3103,0.5847,0.0873,3383,5,0.1357966302098729,0.1350872007094295,0.13745196571090748,0.13591895598143144,0.13046286500013426,0.14148855575560682,0.0023647650014779753,0.01102569075547255
879,S89,0.3324,0.0899,0.5778,0.4763,3575,5,0.37420979020979017,0.36979020979020977,0.38125874125874126,0.3741976441866346,0.3651452212842202,0.3832104011126857,0.011468531468531495,0.01806517982846545
880,S890,0.0954,0.2779,0.6267,0.7703,2722,5,0.3252020573108009,0.32072005878030857,0.331373989713446,0.3252758780366445,0.31583367821368213,0.33477923905895357,0.010653930933137434,0.018945560845271436
881,S891,0.2472,0.4213,0.3315,0.1161,8480,5,0.29485849056603775,0.29245283018867924,0.2985849056603774,0.29485079305330875,0.28927138912210004,0.29971633165427947,0.00613207547169814,0.010444942532179424
882,S892,0.1175,0.3352,0.5473,0.7476,2469,5,0.3675982179019846,0.36411502632644793,0.370595382746051,0.36764555329513926,0.3561974031589493,0.37823062063795865,0.006480356419603095,0.022033217479009326
883,S893,0.4831,0.343,0.1739,0.2986,6088,5,0.5915900131406044,0.5859067017082786,0.5995400788436268,0.5915749069177354,0.5830764914151858,0.6001507128624881,0.01363337713534818,0.017074221447302307
884,S894,0.3996,0.2287,0.3717,0.7175,6223,5,0.55854089667363,0.5564840109272056,0.5600192833038727,0.5585920380500158,0.5496728911076453,0.5666604107489396,0.0035352723766671756,0.016987519641294302
885,S895,0.5028,0.4569,0.0403,0.3254,5375,5,0.6548837209302326,0.6483720930232558,0.660093023255814,0.6548558554282568,0.6450964982907738,0.6655549927415492,0.011720930232558158,0.02045849445077541
886,S896,0.6782,0.2174,0.1044,0.7244,2223,5,0.8232118758434548,0.8205128205128205,0.8263607737291948,0.8232166217525007,0.8064317371778004,0.8401761366484681,0.005847953216374324,0.03374439947066776
887,S897,0.376,0.459,0.165,0.9222,2607,5,0.8038358266206368,0.8016877637130801,0.80897583429229,0.804030724902039,0.7883673667346076,0.8207718574098594,0.007288070579209882,0.03240449067525175
888,S898,0.1626,0.0106,0.8268,0.6893,5902,5,0.16736699423924092,0.1668925787868519,0.16807861741782446,0.1673983364826819,0.16267445100999678,0.1719232918486444,0.0011860386309725524,0.009248840838647632
889,S899,0.1869,0.0555,0.7577,0.0992,8871,5,0.19628001352722355,0.1954683801149814,0.1969338293315297,0.19630105551427524,0.19198761488681404,0.20037030123924582,0.0014654492165482869,0.008382686352431779
890,S9,0.0835,0.5211,0.3954,0.2133,1884,5,0.1947983014861996,0.18471337579617833,0.20010615711252655,0.19492093253540665,0.18586276233323618,0.20427499997288912,0.01539278131634822,0.01841223763965294
891,S90,0.1017,0.4587,0.4397,0.9833,2849,5,0.551000351000351,0.55001755001755,0.5521235521235521,0.5510506868022972,0.5385635410835962,0.5632455755688738,0.0021060021060020917,0.024682034485277615
